business_date,run_age_bd,daily_dir_size_bytes,daily_file_count,day_completion_status,total_elapsed_seconds,elapsed_market_refresh_seconds,elapsed_morning_seconds,elapsed_sell_planning_seconds,elapsed_data_readiness_seconds,elapsed_submit_seconds,elapsed_execution_seconds,elapsed_current_valuation_refresh_seconds,elapsed_runtime_state_refresh_seconds,regime,market_trend_state,breadth_state,confidence,equity,daily_pnl,daily_return,cash,market_value,exposure,position_count,pc_member_count,bq_positive_count,capitalized_pc_member_count,prior_exit_lineage_row_count,reentry_suppressed_count,old_gt120bd_reentry_suppressed_count,unknown_context_reentry_suppressed_count,prior_exit_target_zero_count,positive_add_count
2022-10-03,1,112811224,128,PASS,102.200607,49.869292,24.925415,2.073447,1.994017,17.429368,1.773732,2.560133,1.575203,BEAR,BEAR,WEAK,0.98418079096,516820.0,,,,516820.0,1.0,7,50,49,9,0,0,0,0,0,0
2022-10-04,2,109862629,126,PASS,98.216144,49.557458,22.341384,2.460018,2.172298,16.002074,1.718698,2.400179,1.564035,RANGE,RANGE,WEAK,0.983492999263,752380.0,235560.0,0.45578731,,752380.0,1.0,7,50,45,11,0,0,0,0,0,0
2022-10-05,3,108519636,126,PASS,91.12495,49.625783,19.784168,2.430899,1.96386,11.81285,1.645252,2.344981,1.517157,RANGE,RANGE,WEAK,0.984302612124,1049080.0,296700.0,0.3943486,296700.0,752380.0,0.717181,7,50,47,11,2,2,0,0,2,0
2022-10-06,4,113095674,126,PASS,87.037187,49.513216,15.342069,2.234385,2.001721,12.11594,1.701763,2.551812,1.576281,RANGE,RANGE,NEUTRAL,0.977676143387,991260.0,-57820.0,-0.05511496,,991260.0,1.0,10,50,43,10,4,4,0,0,4,1
2022-10-07,5,110432075,126,PASS,85.583235,49.812037,16.013281,2.357151,1.940826,9.988831,1.604889,2.318395,1.547825,RANGE,RANGE,NEUTRAL,0.979233621755,1072100.0,80840.0,0.08155277,80840.0,991260.0,0.924597,9,50,42,12,4,4,0,0,4,0
2022-10-11,6,109712704,126,PASS,80.696359,50.742824,11.656485,2.372238,2.164677,8.332401,1.568812,2.28764,1.571282,BEAR,BEAR,WEAK,0.980216269354,1068640.0,-3460.0,-0.00322731,147240.0,921400.0,0.862217,8,50,45,9,6,4,0,0,6,1
2022-10-12,7,110836473,126,PASS,82.972465,50.699095,11.992757,2.444586,2.162335,10.132323,1.653319,2.342173,1.545877,BEAR,BEAR,WEAK,0.981984657263,1046710.0,-21930.0,-0.02052141,341840.0,704870.0,0.673415,8,51,45,8,7,6,0,0,7,1
2022-10-13,8,109682391,126,PASS,96.215937,51.141952,21.025102,2.505726,1.810091,14.150754,1.670094,2.341789,1.570429,BEAR,BEAR,WEAK,0.98366840407,1036770.0,-9940.0,-0.00949642,332900.0,703870.0,0.678907,6,51,43,10,7,7,0,0,7,1
2022-10-14,9,110065809,126,PASS,88.955016,50.700961,15.853409,2.481061,2.222328,12.120672,1.655494,2.364247,1.556844,BEAR,BEAR,WEAK,0.976775620546,1034440.0,-2330.0,-0.00224736,717080.0,317360.0,0.306794,8,50,49,9,8,8,0,0,8,0
2022-10-17,10,105630666,126,PASS,91.521196,50.868379,15.952604,2.411139,2.342164,14.371647,1.667485,2.360685,1.547093,BEAR,BEAR,WEAK,0.978798325536,1045680.0,11240.0,0.01086578,462210.0,583470.0,0.557981,10,50,49,11,8,8,0,1,8,0
2022-10-18,11,112478832,126,PASS,94.893888,52.225271,19.368923,2.634475,2.566958,12.42866,1.692879,2.393488,1.583234,BEAR,BEAR,WEAK,0.97981266946,1043750.0,-1930.0,-0.00184569,442350.0,601400.0,0.576192,8,50,50,12,9,8,0,1,9,0
2022-10-19,12,123754676,126,PASS,95.451226,52.816944,18.565121,2.402989,2.58527,13.040273,1.781236,2.663474,1.595919,RANGE,RANGE,WEAK,0.979238754325,864530.0,-179220.0,-0.17170778,,864530.0,1.0,10,50,44,12,11,10,0,1,10,0
2022-10-20,13,116387963,126,PASS,85.738124,51.943072,13.839435,2.370314,2.599222,9.071205,1.723113,2.589731,1.602032,RANGE,RANGE,WEAK,0.979207920792,924060.0,59530.0,0.06885822,,924060.0,1.0,12,50,45,13,10,10,0,1,10,0
2022-10-21,14,123714904,126,PASS,86.68624,52.08608,14.738414,2.439699,2.523599,9.039371,1.688631,2.573557,1.596889,RANGE,RANGE,WEAK,0.982069137031,720260.0,-203800.0,-0.22054845,,720260.0,1.0,10,51,43,13,9,8,0,1,9,0
2022-10-24,15,119958546,126,PASS,100.37649,51.944016,23.20593,2.583703,2.005671,14.97593,1.705931,2.390175,1.565134,RANGE,RANGE,WEAK,0.981271477663,1044370.0,324110.0,0.44999028,324110.0,720260.0,0.68966,13,51,40,16,10,9,0,2,9,0
2022-10-25,16,113579370,126,PASS,95.33952,52.206309,19.390141,2.691607,2.597787,12.831438,1.671481,2.353809,1.596948,RECOVERY,RECOVERY,NEUTRAL,0.982388861749,1058230.0,13860.0,0.01327116,323910.0,734320.0,0.693913,13,53,46,16,10,9,0,1,9,0
2022-10-26,17,104328411,126,PASS,91.548003,52.574615,13.01527,2.551154,2.647417,15.224146,1.673785,2.313648,1.547968,RECOVERY,RECOVERY,NEUTRAL,0.978270509978,1071160.0,12930.0,0.01221852,158310.0,912850.0,0.852207,12,54,41,13,11,11,0,1,11,0
2022-10-27,18,108271194,126,PASS,94.188059,52.524747,18.774239,2.465413,1.828989,12.992765,1.676647,2.366114,1.559145,BULL,BULL,STRONG,0.980034722222,1051840.0,-19320.0,-0.01803652,121780.0,930060.0,0.884222,13,53,38,16,11,11,0,2,11,0
2022-10-28,19,105639333,126,PASS,93.712739,53.307381,13.647411,2.542763,2.79361,15.610568,1.701777,2.473539,1.63569,RECOVERY,RECOVERY,NEUTRAL,0.97489488004,1052920.0,1080.0,0.00102677,189180.0,863740.0,0.820328,11,53,40,12,12,12,0,1,12,0
2022-10-31,20,109848502,126,PASS,95.875549,53.858718,19.798096,2.69648,1.914949,11.359898,1.664823,2.356849,2.225736,BULL,BULL,STRONG,0.980225988701,1052680.0,-240.0,-0.00022794,176680.0,876000.0,0.832162,10,54,42,14,13,13,0,3,13,0
2022-11-01,21,124022287,126,PASS,97.19036,54.304215,19.522998,2.539798,3.066543,11.757766,1.749353,2.663787,1.5859,BULL,BULL,STRONG,0.984868582658,929050.0,-123630.0,-0.1174431,,929050.0,1.0,10,55,41,13,13,12,0,2,12,1
2022-11-02,22,101656191,126,PASS,91.615605,53.696246,15.371664,2.437708,2.911945,11.560383,1.676451,2.387182,1.574026,RANGE,RANGE,NEUTRAL,0.980152859961,1088380.0,159330.0,0.17149777,159330.0,929050.0,0.853608,9,54,34,11,12,12,0,3,12,0
2022-11-04,23,118521347,126,PASS,87.328576,53.844144,14.983973,2.404924,2.822725,7.36809,1.742605,2.580544,1.581571,CORRECTION,CORRECTION,NEUTRAL,0.978130381304,869890.0,-218490.0,-0.2007479,,869890.0,1.0,8,52,44,11,12,12,0,3,12,0
2022-11-07,24,105565280,126,PASS,101.268329,54.033953,19.848422,2.529556,2.945244,16.157219,1.738714,2.439323,1.575898,RANGE,RANGE,NEUTRAL,0.97713654224,1107820.0,237930.0,0.27351734,237930.0,869890.0,0.785227,9,53,38,11,13,12,0,3,12,0
2022-11-08,25,113365212,126,PASS,98.281872,54.571164,19.163527,2.565224,1.92585,14.274706,1.720873,2.451829,1.608699,RECOVERY,RECOVERY,NEUTRAL,0.977419354839,1112650.0,4830.0,0.00435991,205830.0,906820.0,0.815009,11,52,40,14,12,11,0,4,11,0
